PT_Disease_Distribution,,,PT_Age_Group,,,PT_Chest_Pain,,
Row Labels,Count of Disease_Status,,Row Labels,Count of Age_Group,,Row Labels,Count of Chest_Pain_Type,
Heart Disease,526,,18-29,5,,Asymptomatic,77,
No Disease,501,,30-39,53,,Atypical Angina,167,
Grand Total,1027,,40-49,237,,Non-Anginal Pain,284,
,,,50-59,423,,Typical Angina,499,
,,,60+,309,,Grand Total,1027,
PT_Gender_Analysis,,,Grand Total,1027,,,,
Row Labels,Count of Gender,,,,,,,
Female,314,,,,,,,
Male,713,,,,,,,
Grand Total,1027,,,,,,,
,,,,,,,,
,,,,,,,,
BP Category Analysis,,,,,,,,
